,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,jasper,33.83,-87.28,57.99,30,1,14.99,US,1578434263
348,pokhara,28.21,83.99,50.32,79,56,2.19,NP,1578434050
349,kraslava,55.9,27.16,29.55,94,89,6.69,LV,1578434513
350,sobolevo,54.43,31.9,29.91,95,66,8.79,RU,1578434513
351,eyl,7.98,49.82,78.66,79,100,21.32,SO,1578434514
352,ugoofaaru,5.67,73.0,82.56,75,98,15.77,MV,1578434173
353,kampene,-3.59,26.67,71.89,94,100,1.92,CD,1578434514
354,majene,-3.54,118.97,77.32,73,100,3.02,ID,1578434514
355,high level,58.52,-117.13,-18.4,82,75,2.24,CA,1578434177
356,kruisfontein,-34.0,24.73,67.6,93,99,8.88,ZA,1578434115
357,pacific grove,36.62,-121.92,61.0,62,1,6.93,US,1578434356
358,sibolga,1.74,98.78,69.98,96,58,3.69,ID,1578434133
359,garachine,8.06,-78.36,82.31,74,18,13.33,PA,1578434514
360,ha giang,22.83,104.99,60.22,94,59,0.72,VN,1578434514
361,chistoye,56.54,43.0,23.0,85,75,6.71,RU,1578434515
362,moroni,35.09,24.92,50.0,81,75,29.97,GR,1578434515
363,yumen,40.29,97.04,13.5,69,57,5.73,CN,1578434515
364,geraldton,49.72,-86.95,8.6,71,90,14.99,CA,1578434158
365,asosa,10.07,34.53,72.91,33,98,6.17,ET,1578434515
366,caruray,10.31,119.01,77.0,88,20,4.7,PH,1578434515
367,maniitsoq,65.42,-52.9,-0.15,95,100,15.93,GL,1578434515
368,sayyan,15.17,44.32,56.75,66,79,0.81,YE,1578434516
369,zhuhai,40.71,112.04,-2.2,77,5,2.24,CN,1578434363
370,ayutthaya,14.36,100.57,79.0,83,3,4.32,TH,1578434516
371,leningradskiy,69.38,178.42,-13.25,93,55,12.68,RU,1578434158
372,necochea,-38.55,-58.74,84.0,15,0,5.99,AR,1578434110
373,vendome,47.44,-0.57,54.0,93,90,8.05,FR,1578434516
374,mbigou,-1.9,11.91,69.06,97,100,2.8,GA,1578434516
375,alytus,54.4,24.05,33.8,86,90,4.7,LT,1578434516
376,praya,-8.71,116.27,78.8,88,40,8.05,ID,1578434160
377,nanortalik,60.14,-45.24,24.4,87,100,24.43,GL,1578434517
378,bilibino,68.06,166.44,-27.26,86,0,3.11,RU,1578434134
379,brakpan,-26.24,28.37,72.0,70,80,7.85,ZA,1578434517
